examine,id,members,lowalch,limit,value,highalch,icon,name,price,last,volume
Ammo for the Dwarf Cannon.,2,True,2,11000,5,3,Cannonball.png,Cannonball,190,196,81832106
The cannon is built on this.,6,True,75000,70,187500,112500,Cannon base.png,Cannon base,196797,196797,877
The mounting for the multicannon.,8,True,75000,70,187500,112500,Cannon stand.png,Cannon stand,190561,190561,836
The barrels of the multicannon.,10,True,75000,70,187500,112500,Cannon barrels.png,Cannon barrels,188060,188060,806
This powers the multicannon.,12,True,75000,70,187500,112500,Cannon furnace.png,Cannon furnace,191957,191957,793
Drives away all known 6 legged creatures.,28,True,1,15,3,1,Insect repellent.png,Insect repellent,453,453,201
It's a bucket of wax.,30,True,2,15,6,3,Bucket of wax.png,Bucket of wax,932,921,1439
A candle.,36,True,1,40,3,1,Candle.png,Candle,485,486,3085
I can make some arrows with these.,39,True,1,10000,1,1,Bronze arrowtips.png,Bronze arrowtips,3,3,1064996
I can make some arrows with these.,40,True,1,10000,2,1,Iron arrowtips.png,Iron arrowtips,5,6,1785800
I can make some arrows with these.,41,True,2,10000,6,3,Steel arrowtips.png,Steel arrowtips,26,28,1860385
I can make some arrows with these.,42,True,6,10000,16,9,Mithril arrowtips.png,Mithril arrowtips,47,47,1191648
I can make some arrows with these.,43,True,16,10000,40,24,Adamant arrowtips.png,Adamant arrowtips,91,96,1192445
I can make some arrows with these.,44,True,80,10000,200,120,Rune arrowtips.png,Rune arrowtips,274,274,638727
Opal bolt tips.,45,True,2,11000,7,4,Opal bolt tips 5.png,Opal bolt tips,74,71,317498
Pearl bolt tips.,46,True,4,11000,12,7,Pearl bolt tips 5.png,Pearl bolt tips,84,88,76771
I can make bolts with these.,47,True,38,11000,95,57,Barb bolttips.png,Barb bolttips,64,64,360118
I need to find a string for this.,48,True,24,10000,60,36,Longbow (u).png,Longbow (u),15,15,134692
I need to find a string for this.,50,True,9,10000,23,13,Shortbow (u).png,Shortbow (u),27,27,14138
A wooden arrow shaft.,52,True,1,7000,1,1,Arrow shaft 5.png,Arrow shaft,1,1,29376011
A wooden arrow shaft with flights attached.,53,True,1,11000,1,1,Headless arrow.png,Headless arrow,8,8,18016415
An unstrung oak shortbow; I need a bowstring for this.,54,True,20,10000,50,30,Oak shortbow (u).png,Oak shortbow (u),29,31,42837
An unstrung oak longbow; I need a bowstring for this.,56,True,32,10000,80,48,Oak longbow (u).png,Oak longbow (u),14,14,278842
An unstrung willow longbow; I need a bowstring for this.,58,True,64,10000,160,96,Willow longbow (u).png,Willow longbow (u),53,55,1194923
An unstrung willow shortbow; I need a bowstring for this.,60,True,40,10000,100,60,Willow shortbow (u).png,Willow shortbow (u),24,24,91227
An unstrung maple longbow; I need a bowstring for this.,62,True,128,10000,320,192,Maple longbow (u).png,Maple longbow (u),113,112,3807201
An unstrung maple shortbow; I need a bowstring for this.,64,True,80,10000,200,120,Maple shortbow (u).png,Maple shortbow (u),92,92,376326
An unstrung yew longbow; I need a bowstring for this.,66,True,256,10000,640,384,Yew longbow (u).png,Yew longbow (u),301,305,2612403
An unstrung yew shortbow; I need a bowstring for this.,68,True,160,10000,400,240,Yew shortbow (u).png,Yew shortbow (u),210,210,171507
An unstrung magic longbow; I need a bowstring for this.,70,True,512,10000,1280,768,Magic longbow (u).png,Magic longbow (u),1090,1087,2838998
An unstrung magic shortbow; I need a bowstring for this.,72,True,320,10000,800,480,Magic shortbow (u).png,Magic shortbow (u),739,749,304091
I need another ingredient to finish this Guam potion.,91,True,1,10000,3,1,Guam potion (unf).png,Guam potion (unf),289,285,346030
I need another ingredient to finish this Marrentill potion.,93,True,2,10000,5,3,Marrentill potion (unf).png,Marrentill potion (unf),182,179,40170
I need another ingredient to finish this Tarromin potion.,95,True,4,10000,11,6,Tarromin potion (unf).png,Tarromin potion (unf),237,231,421260
I need another ingredient to finish this Harralander potion.,97,True,8,10000,20,12,Harralander potion (unf).png,Harralander potion (unf),792,762,633717
I need another ingredient to finish this Ranarr potion.,99,True,10,10000,25,15,Ranarr potion (unf).png,Ranarr potion (unf),7336,7322,1359640
I need another ingredient to finish this Irit potion.,101,True,16,10000,40,24,Irit potion (unf).png,Irit potion (unf),1646,1621,773715
I need another ingredient to finish this Avantoe potion.,103,True,19,10000,48,28,Avantoe potion (unf).png,Avantoe potion (unf),3967,4019,984175
I need another ingredient to finish this Kwuarm potion.,105,True,21,10000,54,32,Kwuarm potion (unf).png,Kwuarm potion (unf),3941,3986,601998
I need another ingredient to finish this Cadantine potion.,107,True,26,10000,65,39,Cadantine potion (unf).png,Cadantine potion (unf),3957,4002,560881
I need another ingredient to finish this Dwarf Weed potion.,109,True,28,10000,70,42,Dwarf weed potion (unf).png,Dwarf weed potion (unf),2579,2564,916857
I need another ingredient to finish this Torstol potion.,111,True,10,10000,25,15,Torstol potion (unf).png,Torstol potion (unf),4299,4299,60721
4 doses of Strength potion.,113,False,5,2000,14,8,Strength potion(4).png,Strength potion(4),130,129,120638
